Category	Points	Answer	Question
Mobile	5	This holiday promotion has more awards than developers.	What is SpeakEmoji?
Mobile	10	Dead or alive, you won't want to do much walking when visiting this city, our Mobile HQ. 	What is Atlanta?
Mobile	20	I'm lovin' it.	What is being the digital adoption partner for McDonald's US?
Mobile	40	These little devices can connect the physical and digital worlds through an app.	What are beacons?
Experience Technology	5	"""The online experience trifecta"" that must mix to create online experiences are these three groups."	What are experience technologist, experience designer, and visual designer. 
Experience Technology	10	These are the two main reasons to collaborate with an experience technologist.	What are Feasibility and Inspiration. 
Experience Technology	20	The phase of a project that an experience technologist needs to start engaging.	What is the discovery phase.
Experience Technology	40	The phases in a project that accessibility compliance should be tested.	What is UX phase, visual design phase, development phase, and QA phase. 
E-Commerce	5	These are the 4 major platforms eCommerce team supports.	What is Hybris, ATG, WebSphere Commerce and DemandWare.
E-Commerce	10	This Grocery Giant is largest client for the eCommerce team in Toronto.	What is Loblaws.
E-Commerce	20	This is the newest eCommerce client for Ursa.	What is Future Electronics 
E-Commerce	40	Holt Renfrew, Future Electronics, Loblaws, Rogers, Indigo	What is the current list of eCommerce customers for the Toronto eCommerce team.	
Marketing Technology	5	The top two CMS platforms Sapient has a strong presence on.	What are AEM and SiteCore 
Marketing Technology	10	Cadillac Fairview, KPMG, Manulife, LCL, FCA	What are the marketing projects currently executed from Toronto office.	
Marketing Technology	20	Sapient did one of the largest AEM implementation in the world for this professional services company.	What is KPMG 
Marketing Technology	40	WCMS, Analytics, Personalization, Data Management Platform, Campaign Management	What are the Sapient Marketing technologies that Cadillac Fairview uses?
General Technology	5	These are the 5 service lines of Toronto technology practice.	What are Experience Technology, eCommerce and Retail, Marketing Technology, and System Integration and Mobile 
General Technology	10	81	The number of technology practitioners in Toronto (at last count).
General Technology	20	"""We shall be renowned for making transformational impact on our clients through our obsession with engineering, agility and innovation; and will make SapientNitro a preferred destination for enriching careers in technology."""	The technology transformation vision for Publicis.Sapient.
General Technology	40	"What does ""CMP"", a quality delivery initiative within Publicis.Sapient, stand for?"	What is the Common Minimum Program.
Final Jeopardy	0	 The coolest, most skilled, and most productive group of people	What is the Toronto technology team.
